project_id,service,sku_description,usage_start_time,usage_end_time,usage_amount,cost
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-09,2025-03-09,26.94,48.32
project-alpha,Kubernetes Engine,GKE Control Plane,2025-03-09,2025-03-09,30.63,31.67
project-beta,Compute Engine,n2-standard-4,2025-03-09,2025-03-09,31.41,38.43
project-beta,Cloud Storage,Egress,2025-03-09,2025-03-09,47.29,74.76
project-beta,BigQuery,Query Processing,2025-03-09,2025-03-09,14.02,20.42
project-beta,Cloud SQL,db-f1-micro,2025-03-09,2025-03-09,34.19,55.14
project-beta,Kubernetes Engine,GKE Control Plane,2025-03-09,2025-03-09,44.48,79.57
project-alpha,Compute Engine,e2-standard-2,2025-03-10,2025-03-10,47.4,32.31
project-alpha,Cloud Storage,Nearline Storage,2025-03-10,2025-03-10,24.87,17.63
project-alpha,BigQuery,Active Storage,2025-03-10,2025-03-10,16.48,7.85
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-10,2025-03-10,26.12,27.51
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-10,2025-03-10,36.78,21.2
project-beta,Compute Engine,n2-standard-4,2025-03-10,2025-03-10,46.67,19.58
project-beta,Cloud Storage,Egress,2025-03-10,2025-03-10,39.47,63.2
project-beta,BigQuery,Active Storage,2025-03-10,2025-03-10,46.6,26.09
project-beta,Cloud SQL,db-f1-micro,2025-03-10,2025-03-10,28.83,42.29
project-beta,Kubernetes Engine,GKE Control Plane,2025-03-10,2025-03-10,25.94,47.73
project-alpha,Compute Engine,e2-standard-2,2025-03-11,2025-03-11,14.66,13.9
project-alpha,Cloud Storage,Nearline Storage,2025-03-11,2025-03-11,24.05,5.15
project-alpha,BigQuery,Active Storage,2025-03-11,2025-03-11,48.36,90.86
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-11,2025-03-11,36.5,69.23
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-11,2025-03-11,44.66,84.9
project-beta,Compute Engine,n2-highmem-8,2025-03-11,2025-03-11,34.19,65.11
project-beta,Cloud Storage,Nearline Storage,2025-03-11,2025-03-11,3.27,0.39
project-beta,BigQuery,Query Processing,2025-03-11,2025-03-11,41.35,4.18
project-beta,Cloud SQL,db-n1-standard-2,2025-03-11,2025-03-11,12.01,5.34
project-beta,Kubernetes Engine,GKE Nodes,2025-03-11,2025-03-11,3.28,0.47
project-alpha,Compute Engine,e2-standard-2,2025-03-12,2025-03-12,19.35,17.62
project-alpha,Cloud Storage,Standard Storage,2025-03-12,2025-03-12,19.13,29.34
project-alpha,BigQuery,Query Processing,2025-03-12,2025-03-12,28.87,38.86
project-alpha,Cloud SQL,db-f1-micro,2025-03-12,2025-03-12,32.8,29.65
project-alpha,Kubernetes Engine,GKE Control Plane,2025-03-12,2025-03-12,14.2,25.29
project-beta,Compute Engine,e2-standard-2,2025-03-12,2025-03-12,2.57,4.77
project-beta,Cloud Storage,Nearline Storage,2025-03-12,2025-03-12,40.44,34.47
project-beta,BigQuery,Active Storage,2025-03-12,2025-03-12,10.94,16.91
project-beta,Cloud SQL,db-n1-standard-2,2025-03-12,2025-03-12,42.34,34.28
project-beta,Kubernetes Engine,GKE Control Plane,2025-03-12,2025-03-12,8.93,12.31
project-alpha,Compute Engine,e2-standard-2,2025-03-13,2025-03-13,14.59,8.26
project-alpha,Cloud Storage,Egress,2025-03-13,2025-03-13,45.25,72.18
project-alpha,BigQuery,Active Storage,2025-03-13,2025-03-13,47.6,49.17
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-13,2025-03-13,22.59,25.6
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-13,2025-03-13,39.1,35.83
project-beta,Compute Engine,e2-standard-2,2025-03-13,2025-03-13,49.15,30.25
project-beta,Cloud Storage,Standard Storage,2025-03-13,2025-03-13,26.74,19.5
project-beta,BigQuery,Query Processing,2025-03-13,2025-03-13,21.8,22.59
project-beta,Cloud SQL,db-f1-micro,2025-03-13,2025-03-13,49.18,18.65
project-beta,Kubernetes Engine,GKE Nodes,2025-03-13,2025-03-13,44.79,64.38
project-alpha,Compute Engine,n2-standard-4,2025-03-14,2025-03-14,36.44,50.85
project-alpha,Cloud Storage,Nearline Storage,2025-03-14,2025-03-14,23.84,28.87
project-alpha,BigQuery,Active Storage,2025-03-14,2025-03-14,49.88,63.72
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-14,2025-03-14,23.57,15.43
project-alpha,Kubernetes Engine,GKE Control Plane,2025-03-14,2025-03-14,23.96,19.96
project-beta,Compute Engine,n2-highmem-8,2025-03-14,2025-03-14,38.57,14.7
project-beta,Cloud Storage,Standard Storage,2025-03-14,2025-03-14,18.68,12.2
project-beta,BigQuery,Query Processing,2025-03-14,2025-03-14,16.86,28.34
project-beta,Cloud SQL,db-n1-standard-2,2025-03-14,2025-03-14,2.94,5.61
project-beta,Kubernetes Engine,GKE Control Plane,2025-03-14,2025-03-14,37.14,17.16
project-alpha,Compute Engine,n2-standard-4,2025-03-15,2025-03-15,31.34,59.81
project-alpha,Cloud Storage,Egress,2025-03-15,2025-03-15,34.24,65.52
project-alpha,BigQuery,Query Processing,2025-03-15,2025-03-15,6.66,2.22
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-15,2025-03-15,48.78,95.96
project-alpha,Kubernetes Engine,GKE Control Plane,2025-03-15,2025-03-15,5.91,3.83
project-beta,Compute Engine,e2-standard-2,2025-03-15,2025-03-15,26.26,25.61
project-beta,Cloud Storage,Egress,2025-03-15,2025-03-15,7.8,6.58
project-beta,BigQuery,Active Storage,2025-03-15,2025-03-15,23.28,36.95
project-beta,Cloud SQL,db-f1-micro,2025-03-15,2025-03-15,34.03,47.13
project-beta,Kubernetes Engine,GKE Nodes,2025-03-15,2025-03-15,13.46,3.64
project-alpha,Compute Engine,e2-standard-2,2025-03-16,2025-03-16,41.16,25.44
project-alpha,Cloud Storage,Nearline Storage,2025-03-16,2025-03-16,44.73,59.65
project-alpha,BigQuery,Query Processing,2025-03-16,2025-03-16,42.51,24.66
project-alpha,Cloud SQL,db-f1-micro,2025-03-16,2025-03-16,20.8,31.6
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-16,2025-03-16,46.86,68.7
project-beta,Compute Engine,e2-standard-2,2025-03-16,2025-03-16,7.92,2.6
project-beta,Cloud Storage,Egress,2025-03-16,2025-03-16,38.08,23.36
project-beta,BigQuery,Query Processing,2025-03-16,2025-03-16,8.46,6.1
project-beta,Cloud SQL,db-f1-micro,2025-03-16,2025-03-16,22.41,25.32
project-beta,Kubernetes Engine,GKE Control Plane,2025-03-16,2025-03-16,9.81,3.37
project-alpha,Compute Engine,e2-standard-2,2025-03-17,2025-03-17,6.32,11.61
project-alpha,Cloud Storage,Standard Storage,2025-03-17,2025-03-17,38.3,45.08
project-alpha,BigQuery,Active Storage,2025-03-17,2025-03-17,45.33,33.02
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-17,2025-03-17,33.1,16.0
project-alpha,Kubernetes Engine,GKE Control Plane,2025-03-17,2025-03-17,20.23,30.48
project-beta,Compute Engine,n2-highmem-8,2025-03-17,2025-03-17,17.32,34.35
project-beta,Cloud Storage,Nearline Storage,2025-03-17,2025-03-17,43.52,86.52
project-beta,BigQuery,Active Storage,2025-03-17,2025-03-17,24.43,26.4
project-beta,Cloud SQL,db-n1-standard-2,2025-03-17,2025-03-17,38.16,24.26
project-beta,Kubernetes Engine,GKE Control Plane,2025-03-17,2025-03-17,5.9,4.07
project-alpha,Compute Engine,n2-standard-4,2025-03-18,2025-03-18,20.5,36.88
project-alpha,Cloud Storage,Standard Storage,2025-03-18,2025-03-18,20.21,17.28
project-alpha,BigQuery,Active Storage,2025-03-18,2025-03-18,41.78,17.04
project-alpha,Cloud SQL,db-f1-micro,2025-03-18,2025-03-18,32.59,48.84
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-18,2025-03-18,7.31,8.03
project-beta,Compute Engine,n2-standard-4,2025-03-18,2025-03-18,41.57,66.36
project-beta,Cloud Storage,Egress,2025-03-18,2025-03-18,2.77,1.37
project-beta,BigQuery,Query Processing,2025-03-18,2025-03-18,29.54,50.32
project-beta,Cloud SQL,db-n1-standard-2,2025-03-18,2025-03-18,34.12,51.06
project-beta,Kubernetes Engine,GKE Control Plane,2025-03-18,2025-03-18,12.58,12.42
project-alpha,Compute Engine,n2-standard-4,2025-03-19,2025-03-19,48.67,71.13
project-alpha,Cloud Storage,Standard Storage,2025-03-19,2025-03-19,5.0,1.25
project-alpha,BigQuery,Active Storage,2025-03-19,2025-03-19,41.76,37.25
project-alpha,Cloud SQL,db-f1-micro,2025-03-19,2025-03-19,20.08,4.43
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-19,2025-03-19,8.26,9.34
project-beta,Compute Engine,e2-standard-2,2025-03-19,2025-03-19,9.43,9.93
project-beta,Cloud Storage,Standard Storage,2025-03-19,2025-03-19,49.23,39.25
project-beta,BigQuery,Query Processing,2025-03-19,2025-03-19,36.16,19.46
project-beta,Cloud SQL,db-n1-standard-2,2025-03-19,2025-03-19,27.82,33.36
project-beta,Kubernetes Engine,GKE Control Plane,2025-03-19,2025-03-19,8.67,10.46
project-alpha,Compute Engine,e2-standard-2,2025-03-20,2025-03-20,27.72,21.39
project-alpha,Cloud Storage,Nearline Storage,2025-03-20,2025-03-20,10.29,19.28
project-alpha,BigQuery,Query Processing,2025-03-20,2025-03-20,44.2,34.38
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-20,2025-03-20,48.84,41.29
project-alpha,Kubernetes Engine,GKE Control Plane,2025-03-20,2025-03-20,7.84,14.4
project-beta,Compute Engine,e2-standard-2,2025-03-20,2025-03-20,18.15,1.85
project-beta,Cloud Storage,Standard Storage,2025-03-20,2025-03-20,12.63,9.32
project-beta,BigQuery,Active Storage,2025-03-20,2025-03-20,49.43,40.47
project-beta,Cloud SQL,db-n1-standard-2,2025-03-20,2025-03-20,4.31,7.84
project-beta,Kubernetes Engine,GKE Nodes,2025-03-20,2025-03-20,17.97,24.9
project-alpha,Compute Engine,e2-standard-2,2025-03-21,2025-03-21,35.85,64.8
project-alpha,Cloud Storage,Standard Storage,2025-03-21,2025-03-21,22.01,30.42
project-alpha,BigQuery,Query Processing,2025-03-21,2025-03-21,41.6,62.1
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-21,2025-03-21,17.94,32.69
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-21,2025-03-21,23.52,16.44
project-beta,Compute Engine,n2-highmem-8,2025-03-21,2025-03-21,36.21,24.14
project-beta,Cloud Storage,Egress,2025-03-21,2025-03-21,30.0,59.88
project-beta,BigQuery,Query Processing,2025-03-21,2025-03-21,31.09,51.15
project-beta,Cloud SQL,db-n1-standard-2,2025-03-21,2025-03-21,43.02,23.66
project-beta,Kubernetes Engine,GKE Nodes,2025-03-21,2025-03-21,21.94,38.07
project-alpha,Compute Engine,e2-standard-2,2025-03-22,2025-03-22,13.36,9.37
project-alpha,Cloud Storage,Nearline Storage,2025-03-22,2025-03-22,32.04,37.44
project-alpha,BigQuery,Active Storage,2025-03-22,2025-03-22,49.11,92.39
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-22,2025-03-22,31.66,14.95
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-22,2025-03-22,14.66,1.99
project-beta,Compute Engine,e2-standard-2,2025-03-22,2025-03-22,47.87,30.61
project-beta,Cloud Storage,Standard Storage,2025-03-22,2025-03-22,45.59,58.64
project-beta,BigQuery,Active Storage,2025-03-22,2025-03-22,41.76,12.96
project-beta,Cloud SQL,db-n1-standard-2,2025-03-22,2025-03-22,6.84,2.05
project-beta,Kubernetes Engine,GKE Control Plane,2025-03-22,2025-03-22,23.43,21.22
project-alpha,Compute Engine,e2-standard-2,2025-03-23,2025-03-23,6.16,4.73
project-alpha,Cloud Storage,Nearline Storage,2025-03-23,2025-03-23,17.39,10.28
project-alpha,BigQuery,Active Storage,2025-03-23,2025-03-23,36.46,50.66
project-alpha,Cloud SQL,db-f1-micro,2025-03-23,2025-03-23,18.73,8.47
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-23,2025-03-23,23.73,5.59
project-beta,Compute Engine,n2-standard-4,2025-03-23,2025-03-23,1.59,2.74
project-beta,Cloud Storage,Standard Storage,2025-03-23,2025-03-23,25.88,29.3
project-beta,BigQuery,Active Storage,2025-03-23,2025-03-23,21.21,28.43
project-beta,Cloud SQL,db-n1-standard-2,2025-03-23,2025-03-23,11.41,9.09
project-beta,Kubernetes Engine,GKE Nodes,2025-03-23,2025-03-23,34.48,32.7
project-alpha,Compute Engine,e2-standard-2,2025-03-24,2025-03-24,35.56,32.23
project-alpha,Cloud Storage,Egress,2025-03-24,2025-03-24,5.55,1.89
project-alpha,BigQuery,Active Storage,2025-03-24,2025-03-24,29.02,34.52
project-alpha,Cloud SQL,db-f1-micro,2025-03-24,2025-03-24,16.67,6.18
project-alpha,Kubernetes Engine,GKE Control Plane,2025-03-24,2025-03-24,46.51,70.45
project-beta,Compute Engine,n2-highmem-8,2025-03-24,2025-03-24,3.98,5.93
project-beta,Cloud Storage,Nearline Storage,2025-03-24,2025-03-24,13.64,17.97
project-beta,BigQuery,Active Storage,2025-03-24,2025-03-24,4.72,1.67
project-beta,Cloud SQL,db-n1-standard-2,2025-03-24,2025-03-24,34.59,45.5
project-beta,Kubernetes Engine,GKE Control Plane,2025-03-24,2025-03-24,46.7,65.97
project-alpha,Compute Engine,n2-standard-4,2025-03-25,2025-03-25,3.7,1.22
project-alpha,Cloud Storage,Egress,2025-03-25,2025-03-25,34.86,51.54
project-alpha,BigQuery,Query Processing,2025-03-25,2025-03-25,42.23,58.17
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-25,2025-03-25,4.98,0.76
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-25,2025-03-25,40.52,67.52
project-beta,Compute Engine,n2-standard-4,2025-03-25,2025-03-25,3.11,1.33
project-beta,Cloud Storage,Nearline Storage,2025-03-25,2025-03-25,41.46,45.39
project-beta,BigQuery,Query Processing,2025-03-25,2025-03-25,7.49,8.75
project-beta,Cloud SQL,db-n1-standard-2,2025-03-25,2025-03-25,35.34,61.89
project-beta,Kubernetes Engine,GKE Nodes,2025-03-25,2025-03-25,38.83,63.64
project-alpha,Compute Engine,n2-highmem-8,2025-03-26,2025-03-26,49.37,25.95
project-alpha,Cloud Storage,Nearline Storage,2025-03-26,2025-03-26,1.11,0.62
project-alpha,BigQuery,Active Storage,2025-03-26,2025-03-26,40.3,45.41
project-alpha,Cloud SQL,db-f1-micro,2025-03-26,2025-03-26,13.58,21.87
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-26,2025-03-26,19.09,22.0
project-beta,Compute Engine,n2-highmem-8,2025-03-26,2025-03-26,47.9,23.69
project-beta,Cloud Storage,Standard Storage,2025-03-26,2025-03-26,20.0,12.31
project-beta,BigQuery,Query Processing,2025-03-26,2025-03-26,44.27,80.6
project-beta,Cloud SQL,db-f1-micro,2025-03-26,2025-03-26,20.89,30.49
project-beta,Kubernetes Engine,GKE Nodes,2025-03-26,2025-03-26,19.28,33.59
project-alpha,Compute Engine,n2-standard-4,2025-03-27,2025-03-27,18.66,5.61
project-alpha,Cloud Storage,Standard Storage,2025-03-27,2025-03-27,37.62,65.22
project-alpha,BigQuery,Query Processing,2025-03-27,2025-03-27,7.84,15.12
project-alpha,Cloud SQL,db-f1-micro,2025-03-27,2025-03-27,21.64,23.59
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-27,2025-03-27,15.82,29.15
project-beta,Compute Engine,e2-standard-2,2025-03-27,2025-03-27,19.12,28.85
project-beta,Cloud Storage,Standard Storage,2025-03-27,2025-03-27,24.07,46.69
project-beta,BigQuery,Query Processing,2025-03-27,2025-03-27,34.05,4.16
project-beta,Cloud SQL,db-f1-micro,2025-03-27,2025-03-27,9.98,5.6
project-beta,Kubernetes Engine,GKE Nodes,2025-03-27,2025-03-27,40.82,26.71
project-alpha,Compute Engine,e2-standard-2,2025-03-28,2025-03-28,14.62,19.32
project-alpha,Cloud Storage,Nearline Storage,2025-03-28,2025-03-28,2.82,0.34
project-alpha,BigQuery,Query Processing,2025-03-28,2025-03-28,48.19,24.82
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-28,2025-03-28,15.21,15.45
project-alpha,Kubernetes Engine,GKE Control Plane,2025-03-28,2025-03-28,32.7,16.77
project-beta,Compute Engine,e2-standard-2,2025-03-28,2025-03-28,44.36,73.03
project-beta,Cloud Storage,Standard Storage,2025-03-28,2025-03-28,32.73,54.81
project-beta,BigQuery,Active Storage,2025-03-28,2025-03-28,39.5,44.92
project-beta,Cloud SQL,db-n1-standard-2,2025-03-28,2025-03-28,29.12,57.53
project-beta,Kubernetes Engine,GKE Control Plane,2025-03-28,2025-03-28,7.86,8.99
project-alpha,Compute Engine,n2-highmem-8,2025-03-29,2025-03-29,30.07,29.01
project-alpha,Cloud Storage,Nearline Storage,2025-03-29,2025-03-29,48.14,12.94
project-alpha,BigQuery,Active Storage,2025-03-29,2025-03-29,33.46,42.95
project-alpha,Cloud SQL,db-f1-micro,2025-03-29,2025-03-29,29.66,29.23
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-29,2025-03-29,36.6,8.78
project-beta,Compute Engine,n2-standard-4,2025-03-29,2025-03-29,28.92,17.02
project-beta,Cloud Storage,Nearline Storage,2025-03-29,2025-03-29,38.5,35.89
project-beta,BigQuery,Query Processing,2025-03-29,2025-03-29,16.85,23.38
project-beta,Cloud SQL,db-n1-standard-2,2025-03-29,2025-03-29,7.08,9.67
project-beta,Kubernetes Engine,GKE Nodes,2025-03-29,2025-03-29,15.72,18.69
project-alpha,Compute Engine,e2-standard-2,2025-03-30,2025-03-30,34.11,33.43
project-alpha,Cloud Storage,Nearline Storage,2025-03-30,2025-03-30,14.52,24.25
project-alpha,BigQuery,Query Processing,2025-03-30,2025-03-30,27.65,39.3
project-alpha,Cloud SQL,db-f1-micro,2025-03-30,2025-03-30,48.79,89.45
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-30,2025-03-30,39.87,71.49
project-beta,Compute Engine,e2-standard-2,2025-03-30,2025-03-30,8.64,11.82
project-beta,Cloud Storage,Egress,2025-03-30,2025-03-30,40.95,77.21
project-beta,BigQuery,Active Storage,2025-03-30,2025-03-30,22.94,41.87
project-beta,Cloud SQL,db-n1-standard-2,2025-03-30,2025-03-30,24.11,26.92
project-beta,Kubernetes Engine,GKE Nodes,2025-03-30,2025-03-30,36.08,46.51
project-alpha,Compute Engine,n2-standard-4,2025-03-31,2025-03-31,29.1,21.06
project-alpha,Cloud Storage,Nearline Storage,2025-03-31,2025-03-31,46.98,21.82
project-alpha,BigQuery,Active Storage,2025-03-31,2025-03-31,32.87,38.22
project-alpha,Cloud SQL,db-n1-standard-2,2025-03-31,2025-03-31,27.01,41.77
project-alpha,Kubernetes Engine,GKE Nodes,2025-03-31,2025-03-31,26.7,14.08
project-beta,Compute Engine,e2-standard-2,2025-03-31,2025-03-31,4.43,1.09
project-beta,Cloud Storage,Nearline Storage,2025-03-31,2025-03-31,2.7,4.49
project-beta,BigQuery,Active Storage,2025-03-31,2025-03-31,26.2,14.22
project-beta,Cloud SQL,db-n1-standard-2,2025-03-31,2025-03-31,33.49,61.11
project-beta,Kubernetes Engine,GKE Nodes,2025-03-31,2025-03-31,46.87,74.03
project-alpha,Compute Engine,n2-highmem-8,2025-04-01,2025-04-01,1.81,1.27
project-alpha,Cloud Storage,Nearline Storage,2025-04-01,2025-04-01,31.1,35.06
project-alpha,BigQuery,Query Processing,2025-04-01,2025-04-01,26.13,12.92
project-alpha,Cloud SQL,db-n1-standard-2,2025-04-01,2025-04-01,13.24,23.89
project-alpha,Kubernetes Engine,GKE Nodes,2025-04-01,2025-04-01,16.68,19.32
project-beta,Compute Engine,e2-standard-2,2025-04-01,2025-04-01,29.11,38.53
project-beta,Cloud Storage,Egress,2025-04-01,2025-04-01,14.97,17.07
project-beta,BigQuery,Query Processing,2025-04-01,2025-04-01,26.39,7.13
project-beta,Cloud SQL,db-n1-standard-2,2025-04-01,2025-04-01,28.82,17.27
project-beta,Kubernetes Engine,GKE Control Plane,2025-04-01,2025-04-01,42.47,29.05
project-alpha,Compute Engine,n2-highmem-8,2025-04-02,2025-04-02,7.33,11.83
project-alpha,Cloud Storage,Standard Storage,2025-04-02,2025-04-02,22.27,38.45
project-alpha,BigQuery,Query Processing,2025-04-02,2025-04-02,5.58,11.12
